,Title,Brand,Available,OriginalPrice,SalePrice,Discount,Sku,Link,Category
118,DAHLIA SILKY SHIRT,lama-retail,True,"Rs.5,950.00","Rs.2,380.00",Save 60%,WAS24TP115-SML-OWT,https://lamaretail.com/collections/banana-road/products/dahlia-silky-shirt-was24tp115-off-white,"BANANA ROAD
PRINT SHOP"
119,MAIA TIERED DRESS,lama-retail,True,"Rs.7,950.00","Rs.7,950.00",,WAS24DR021-XSM-MRN,https://lamaretail.com/collections/banana-road/products/maia-tiered-dress-was24dr021-maroon,"BANANA ROAD
PRINT SHOP"
120,FRAYED SHIRT,lama-retail,True,"Rs.6,450.00","Rs.1,935.00",Save 70%,WAS24TP002-XSM-WHT,https://lamaretail.com/collections/last-chance/products/frayed-shirt-was24tp002-white,CLEARANCE
121,AVIATOR JUMPSUIT,lama-retail,True,"Rs.8,950.00","Rs.3,580.00",Save 60%,LEKWWD0003-XSM-PUM,https://lamaretail.com/collections/last-chance/products/aviator-jumpsuit-lekwwd0003-plum,CLEARANCE
122,BOYFRIEND STRAIGHT JEANS,lama-retail,True,"Rs.6,950.00","Rs.2,085.00",Save 70%,STYWWB0001-026-WHT,https://lamaretail.com/collections/last-chance/products/boyfriend-straight-jeans-stywwb0001-white,CLEARANCE
123,TEXTURED BLAZER,lama-retail,True,"Rs.17,950.00","Rs.7,180.00",Save 60%,UDCMWT0011-MED-GRY,https://lamaretail.com/collections/last-chance/products/textured-blazer-udcmwt0011-grey,CLEARANCE
124,STATEMENT LIGHT QUILTED JACKET,lama-retail,True,"Rs.8,950.00","Rs.2,685.00",Save 70%,LEKWWT0015-MED-BLK,https://lamaretail.com/collections/last-chance/products/statement-light-quilted-jacket-lekwwt0015-black,CLEARANCE
125,OVERSHIRT WITH POCKETS,lama-retail,True,"Rs.5,950.00","Rs.2,380.00",Save 60%,HSAMWT0010-XSM-WHT,https://lamaretail.com/collections/last-chance/products/overshirt-with-pockets-hsamwt0010-white,CLEARANCE
126,BASIC TAPERED PANTS,lama-retail,True,"Rs.5,950.00","Rs.3,570.00",Save 40%,BSLMSB0001-028-TPK,https://lamaretail.com/collections/last-chance/products/basic-tapered-pants-bslmsb0001-tea-pink,CLEARANCE
127,VELVET PLEATED TROUSER,lama-retail,True,"Rs.7,950.00","Rs.2,385.00",Save 70%,LEKMWB0004-SML-BLK,https://lamaretail.com/collections/last-chance/products/velvet-pleated-trouser-lekmwb0004-black,CLEARANCE
128,TAILORED OVERSIZED VELVET PANT,lama-retail,True,"Rs.9,450.00","Rs.2,835.00",Save 70%,LEKWWB0009-XSM-PNK,https://lamaretail.com/collections/last-chance/products/tailored-oversized-velvet-pant-lekwwb0009-pink,CLEARANCE
129,TEXTURED ZIPPER JACKET,lama-retail,True,"Rs.17,950.00","Rs.7,180.00",Save 60%,UDCMWT0018-SML-BLK,https://lamaretail.com/collections/last-chance/products/textured-zipper-jacket-udcmwt0018-black,CLEARANCE
130,ABSTRACT STRIPED SHIRT,lama-retail,True,"Rs.5,450.00","Rs.1,635.00",Save 70%,WAS24TP003-XSM-WHT,https://lamaretail.com/collections/last-chance/products/abstract-striped-shirt-was24tp003-white,CLEARANCE
131,VELVET PLEATED TROUSER,lama-retail,True,"Rs.7,950.00","Rs.2,385.00",Save 70%,LEKMWB0004-SML-NVY,https://lamaretail.com/collections/last-chance/products/velvet-pleated-trouser-lekmwb0004-navy,CLEARANCE
132,LIGHTWEIGHT QUILTED GILET,lama-retail,True,"Rs.6,950.00","Rs.2,085.00",Save 70%,SMDMWJ0006-MED-NVY,https://lamaretail.com/collections/last-chance/products/lightweight-quilted-gilet-smdmwj0006-navy,CLEARANCE
133,VELVET BLAZER,lama-retail,True,"Rs.17,950.00","Rs.5,385.00",Save 70%,LEKMWT0002-SML-BLK,https://lamaretail.com/collections/last-chance/products/velvet-blazer-lekmwt0002-black,CLEARANCE
134,BASIC CARDIGAN,lama-retail,True,"Rs.6,950.00","Rs.2,780.00",Save 60%,SDKMWT0001-SML-LBR,https://lamaretail.com/collections/last-chance/products/basic-cardigan-sdkmwt0001-light-brown,CLEARANCE
135,SUEDE BUTTON DOWN GILET,lama-retail,True,"Rs.19,950.00","Rs.7,980.00",Save 60%,HSAMWT0003-SML-NVY,https://lamaretail.com/collections/last-chance/products/suede-button-down-gilet-hsamwt0003-navy,CLEARANCE
136,STRETCHY SHIRT,lama-retail,True,"Rs.2,950.00","Rs.1,180.00",Save 60%,WAS24TP033-MED-BLK,https://lamaretail.com/collections/last-chance/products/stretchy-shirt-was24tp033-black,CLEARANCE
137,SUEDE BUTTON DOWN GILET,lama-retail,True,"Rs.19,950.00","Rs.7,980.00",Save 60%,HSAMWT0003-SML-RST,https://lamaretail.com/collections/last-chance/products/suede-button-down-gilet-hsamwt0003-rust,CLEARANCE
138,VELVET BLAZER,lama-retail,True,"Rs.17,950.00","Rs.5,385.00",Save 70%,LEKMWT0002-SML-NVY,https://lamaretail.com/collections/last-chance/products/velvet-blazer-lekmwt0002-navy,CLEARANCE
139,TAILORED OVERSIZED VELVET PANT,lama-retail,True,"Rs.9,450.00","Rs.2,835.00",Save 70%,LEKWWB0009-XSM-BLK,https://lamaretail.com/collections/last-chance/products/tailored-oversized-velvet-pant-lekwwb0009-black,CLEARANCE
140,OVERSHIRT WITH POCKETS,lama-retail,True,"Rs.5,950.00","Rs.2,380.00",Save 60%,HSAMWT0010-XSM-OLV,https://lamaretail.com/collections/last-chance/products/overshirt-with-pockets-hsamwt0010-olive,CLEARANCE
141,STRETCHY SHIRT,lama-retail,True,"Rs.2,950.00","Rs.1,180.00",Save 60%,WAS24TP033-SML-GRY,https://lamaretail.com/collections/last-chance/products/stretchy-shirt-was24tp033-grey,CLEARANCE
142,CONTRAST COLLAR BUTTON DOWN,lama-retail,True,"Rs.6,450.00","Rs.2,580.00",Save 60%,WAS24TP023-XSM-BLU,https://lamaretail.com/collections/last-chance/products/contrast-collar-button-down-was24tp023-blue,CLEARANCE
143,CROPPED PARTY TOP,lama-retail,True,"Rs.4,950.00","Rs.1,485.00",Save 70%,WAS24TP031-MED-GRN,https://lamaretail.com/collections/last-chance/products/cropped-party-top-was24tp031-green,CLEARANCE
144,LEATHER KNEE HIGH BOOTS,lama-retail,True,"Rs.9,950.00","Rs.6,965.00",Save 30%,SHFWWS0029-039-BLK,https://lamaretail.com/collections/last-chance/products/leather-knee-high-boots-shfwws0029-black,CLEARANCE
145,SUEDE ZIPPER GILET,lama-retail,True,"Rs.19,950.00","Rs.7,980.00",Save 60%,HSAMWT0002-SML-BLK,https://lamaretail.com/collections/last-chance/products/suede-zipper-gilet-hsamwt0002-black,CLEARANCE
146,VELVET PLEATED TROUSER,lama-retail,True,"Rs.7,950.00","Rs.2,385.00",Save 70%,LEKMWB0004-SML-CML,https://lamaretail.com/collections/last-chance/products/velvet-pleated-trouser-lekmwb0004-camel,CLEARANCE
147,WAISTCOAT WITH POCKETS,lama-retail,True,"Rs.6,950.00","Rs.2,780.00",Save 60%,XLFWWT0004-LRG-CRM,https://lamaretail.com/collections/last-chance/products/waistcoat-with-pockets-xlfwwt0004-cream,CLEARANCE
148,STRIPED CASUAL SHORTS,lama-retail,True,"Rs.2,950.00","Rs.1,180.00",Save 60%,AMEMSB0003-028-GRN,https://lamaretail.com/collections/last-chance/products/striped-casual-shorts-amemsb0003-green,CLEARANCE
149,LIGHTWEIGHT QUILTED GILET,lama-retail,True,"Rs.6,950.00","Rs.2,780.00",Save 60%,SMDMWJ0006-MED-BUR,https://lamaretail.com/collections/last-chance/products/lightweight-quilted-gilet-smdmwj0006-burgundy,CLEARANCE
150,CROPPED PARTY TOP,lama-retail,True,"Rs.4,950.00","Rs.1,485.00",Save 70%,WAS24TP031-SML-BLK,https://lamaretail.com/collections/last-chance/products/cropped-party-top-was24tp031-black,CLEARANCE
151,FADDED EFFECT LEATHER JACKET,lama-retail,True,"Rs.24,950.00","Rs.9,980.00",Save 60%,HSAMWT0006-XLG-BLK,https://lamaretail.com/collections/last-chance/products/fadded-effect-leather-jacket-hsamwt0006-black,CLEARANCE
152,CROPPED BLAZER SHIRT,lama-retail,True,"Rs.7,450.00","Rs.2,980.00",Save 60%,LEKWWT0005-LRG-BEG,https://lamaretail.com/collections/last-chance/products/cropped-blazer-shirt-lekwwt0005-beige,CLEARANCE
153,FRAYED SHIRT,lama-retail,True,"Rs.6,450.00","Rs.1,935.00",Save 70%,WAS24TP002-XSM-BLU,https://lamaretail.com/collections/last-chance/products/frayed-shirt-was24tp002-blue,CLEARANCE
154,RETRO SILK BUTTON DOWN,lama-retail,True,"Rs.5,450.00","Rs.2,180.00",Save 60%,WAS24TP007-XSM-BLK,https://lamaretail.com/collections/last-chance/products/retro-silk-button-down-was24tp007-black,CLEARANCE
155,CROPPED BLAZER SHIRT,lama-retail,True,"Rs.7,450.00","Rs.2,980.00",Save 60%,LEKWWT0005-LRG-BLK,https://lamaretail.com/collections/last-chance/products/cropped-blazer-shirt-lekwwt0005-black,CLEARANCE
156,ASYMMETRICAL STRIPED TEE,lama-retail,True,"Rs.4,450.00","Rs.1,780.00",Save 60%,WAS24TP011-XSM-WHT,https://lamaretail.com/collections/last-chance/products/asymmetrical-striped-tee-was24tp011-white,CLEARANCE
157,PATCH POCKET SHIRT,lama-retail,True,"Rs.5,950.00","Rs.2,380.00",Save 60%,WAS24TP022-XSM-BLK,https://lamaretail.com/collections/last-chance/products/patch-pocket-shirt-was24tp022-black,CLEARANCE
158,LIGHTWEIGHT QUILTED GILET,lama-retail,True,"Rs.6,950.00","Rs.2,085.00",Save 70%,SMDMWJ0008-LRG-NVY,https://lamaretail.com/collections/last-chance/products/lightweight-quilted-gilet-smdmwj0008-navy,CLEARANCE
159,LONG FINE KNIT BEANIE,lama-retail,True,"Rs.1,950.00",Rs.780.00,Save 60%,ZHGWHG0015-UNI-KHI,https://lamaretail.com/collections/last-chance/products/long-fine-knit-beanie-zhgwhg0015-khaki,CLEARANCE
160,COMFY DAY SLIDES,lama-retail,True,"Rs.4,450.00","Rs.3,115.00",Save 30%,WFS24SL060-038-TPE,https://lamaretail.com/collections/last-chance/products/comfy-day-slides-wfs24sl060-taupe,CLEARANCE
161,RETREAT SUMMER SLIDES,lama-retail,True,"Rs.6,450.00","Rs.2,580.00",Save 60%,WFS24SL002-039-BLK,https://lamaretail.com/collections/last-chance/products/retreat-summer-slides-wfs24sl002-black,CLEARANCE
162,SHORT SHIRT WITH STRETCHY BACK,lama-retail,True,"Rs.5,450.00","Rs.2,180.00",Save 60%,WAS24TP027-XSM-BLK,https://lamaretail.com/collections/last-chance/products/short-shirt-with-stretchy-back-was24tp027-black,CLEARANCE
163,JACKIE FORMAL TROUSERS,lama-retail,True,"Rs.6,450.00","Rs.1,935.00",Save 70%,WAS24BT001-XSM-CRM,https://lamaretail.com/collections/last-chance/products/jackie-formal-trouser-was24bt001-cream,CLEARANCE
164,TASSEL SHORTS,lama-retail,True,"Rs.2,950.00",Rs.885.00,Save 70%,WAS24BT014-XSM-BLK,https://lamaretail.com/collections/last-chance/products/tassel-shorts-was24bt014-black,CLEARANCE
165,LONG KNIT BEANIE,lama-retail,True,"Rs.1,950.00",Rs.780.00,Save 60%,ZHGWHG0012-UNI-NVY,https://lamaretail.com/collections/last-chance/products/long-knit-beanie-zhgwhg0012-navy,CLEARANCE
166,RETREAT SUMMER SLIDES,lama-retail,True,"Rs.6,450.00","Rs.1,935.00",Save 70%,WFS24SL002-038-BEG,https://lamaretail.com/collections/last-chance/products/retreat-summer-slides-wfs24sl002-beige,CLEARANCE
167,JACKIE FORMAL TROUSERS,lama-retail,True,"Rs.6,450.00","Rs.1,935.00",Save 70%,WAS24BT001-XSM-PNK,https://lamaretail.com/collections/last-chance/products/jackie-formal-trouser-was24bt001-pink,CLEARANCE
168,SHORT SHIRT WITH STRETCHY BACK,lama-retail,True,"Rs.5,450.00","Rs.1,635.00",Save 70%,WAS24TP027-XSM-WHT,https://lamaretail.com/collections/last-chance/products/short-shirt-with-stretchy-back-was24tp027-white,CLEARANCE
169,LEATHER SANDALS,lama-retail,True,"Rs.5,950.00","Rs.4,165.00",Save 30%,SHFMWS0028-043-BLK,https://lamaretail.com/collections/last-chance/products/leather-sandals-shfmws0028-black,CLEARANCE
170,RESORT FLARED PANTS,lama-retail,True,"Rs.6,450.00","Rs.1,935.00",Save 70%,WAS24BT017-XSM-BLK,https://lamaretail.com/collections/last-chance/products/resort-flared-pants-was24bt017-black,CLEARANCE
